id,薪资,学历要求,工作经验
9k-15k,本科,不限,4841860
20k-40k,本科,1-3年,4031217
15k-20k,本科,3-5年,4997370
5k-8k,本科,1-3年,5155437
12k-24k,本科,3-5年,4828987
25k-40k,本科,3-5年,4995429
6K-10K,本科,1-3年,4569894
15k-30k,本科,1-3年,4629095
20k-30k,本科,3-5年,4869834
4k-5k,本科,不限,1794529
15k-25k,本科,3-5年,4543772
22k-40k,本科,1-3年,5106801
15k-28k,本科,3-5年,4107109
8k-14k,本科,1-3年,4679512
15k-30k,本科,3-5年,4861970
20k-30k,本科,3-5年,4939778
25k-50k,本科,3-5年,4983979
15k-30k,本科,3-5年,4861970
10k-15k,大专,3-5年,5173498
8k-15k,本科,1-3年,4498837
8k-15k,大专,3-5年,4770574
22k-40k,本科,1-3年,5106801
15k-28k,本科,3-5年,4107109
10k-15k,本科,3-5年,4942171
15k-30k,本科,3-5年,4900644
20k-40k,大专,3-5年,4496089
10k-20k,本科,1-3年,4492674
15k-25k,大专,3-5年,4189026
20k-40k,本科,5-10年,5147986
10k-18k,本科,3-5年,4372352
8k-14k,大专,1-3年,3541057
10k-15k,不限,1-3年,4701933
16k-32k,本科,1-3年,4880792
15k-30k,本科,3-5年,4238383
15k-30k,本科,3-5年,4728240
5k-8k,不限,不限,4985119
15k-25k,本科,3-5年,5149190
13k-20k,不限,3-5年,5132011
15k-30k,本科,1-3年,4839763
18k-25k,本科,5-10年,4991413
15k-25k,大专,3-5年,4975294
3k-5k,本科,应届毕业生,3919605
25k-35k,本科,不限,5147927
15k-30k,本科,3-5年,4909250
18k-32k,本科,3-5年,4555954
9k-15k,大专,3-5年,4600991
8k-15k,本科,3-5年,2926022
8k-16k,大专,3-5年,5031151
10k-20k,本科,3-5年,3922870
6k-10k,本科,1-3年,4203473
8k-15k,本科,1-3年,4645765
8k-15k,不限,1-3年,2832784
15k-25k,本科,3-5年,5011066
10k-15k,本科,1-3年,4064556
6k-12k,本科,1-3年,5112131
10k-15k,本科,1-3年,5015227
8k-15k,本科,1-3年,5102112
6k-12k,本科,1-3年,3120121
10k-15k,本科,3-5年,4311546
9k-18k,本科,1-3年,4448656
20k-40k,不限,3-5年,4274605
10k-20k,本科,3-5年,3731178
10k-20k,大专,3-5年,2791228
15k-25k,本科,3-5年,3891166
8k-16k,大专,1-3年,4988988
12k-24k,本科,1-3年,3919848
7k-12k,硕士,应届毕业生,5095985
8k-10k,本科,1-3年,4734691
10k-20k,不限,3-5年,3589220
10k-20k,本科,3-5年,4732928
17k-25k,本科,1年以下,4894179
18k-30k,本科,1-3年,4013623
10k-20k,本科,1-3年,5015981
10k-15k,本科,3-5年,4808655
10k-20k,本科,1-3年,5072795
20k-40k,本科,3-5年,4794938
20k-40k,本科,5-10年,3922864
8k-14k,大专,3-5年,4370371
20k-40k,本科,3-5年,5080888
8k-10k,本科,1-3年,5191026
10k-20k,本科,不限,5077225
8k-10k,本科,3-5年,4955044
6k-10k,大专,1-3年,5009642
5k-9k,本科,3-5年,1546255
11k-22k,本科,3-5年,4321451
25k-50k,本科,5-10年,4524501
20k-40k,本科,5-10年,4211453
8k-16k,本科,1-3年,4968618
6k-10k,本科,1-3年,4713808
12k-22k,本科,3-5年,4590549
15k-30k,本科,3-5年,2725373
25k-50k,本科,3-5年,4657459
6k-12k,大专,1-3年,4946204
8k-16k,本科,1-3年,3695753
10k-20k,本科,1-3年,4359548
15k-30k,本科,不限,4135705
31k-50k,本科,5-10年,4702658
25k-50k,本科,3-5年,4354467
10k-20k,本科,1-3年,4271445
18k-30k,不限,3-5年,4680072
15k-25k,本科,3-5年,3001728
10k-20k,本科,3-5年,4483476
10k-20k,本科,3-5年,3580135
14k-28k,本科,3-5年,4121713
15k-30k,本科,3-5年,5030072
3k-5k,本科,不限,4648324
10k-20k,本科,1-3年,3994205
20k-30k,本科,3-5年,5168548
20k-40k,本科,3-5年,5068466
30k-50k,本科,不限,5056196
18k-30k,本科,1-3年,5116209
20k-30k,本科,3-5年,3938082
8k-15k,本科,1-3年,3115265
15k-25k,本科,不限,4938243
10k-20k,大专,3-5年,4757254
15k-30k,本科,3-5年,4913056
10k-20k,本科,不限,5067741
10k-20k,大专,不限,4993497
20k-40k,本科,5-10年,5079628
15k-25k,本科,3-5年,4069938
35k-45k,本科,5-10年,3007078
25k-43k,本科,3-5年,5069650
30k-50k,本科,5-10年,5020828
20k-30k,本科,不限,3629598
25k-50k,本科,3-5年,5119307
15k-25k,本科,3-5年,4902395
9k-11k,本科,1-3年,5194656
10k-20k,大专,3-5年,5188658
10k-20k,本科,1-3年,4434420
10k-15k,本科,应届毕业生,3695045
4k-8k,大专,1-3年,1506549
15k-25k,本科,3-5年,4711429
10k-20k,本科,3-5年,4002570
20k-35k,本科,3-5年,3990329
15k-30k,本科,3-5年,5108168
20k-35k,本科,5-10年,4775426
10k-16k,大专,1-3年,5142849
15k-20k,本科,3-5年,4974646
30k-50k,本科,3-5年,4492694
20k-35k,本科,3-5年,5138444
15k-30k,本科,3-5年,4961840
15k-30k,本科,1-3年,3462720
10k-20k,本科,1-3年,5008841
20k-40k,本科,3-5年,5084678
13k-15k,本科,3-5年,4259675
12k-15k,本科,3-5年,5187599
15k-25k,本科,3-5年,4345381
30k-60k,本科,5-10年,4279318
10k-20k,本科,1-3年,4864626
4k-8k,不限,1-3年,4699104
25K-50K,本科,3-5年,4462001
4k-7k,大专,1-3年,5194769
18k-30k,本科,3-5年,5153582
15k-25k,本科,3-5年,5148203
15k-25k,本科,3-5年,5135813
20k-40k,本科,5-10年,5070350
15k-30k,本科,3-5年,4932544
10k以上,不限,1-3年,868268
2k-3k,本科,不限,4962494
10k-20k,本科,1-3年,4871556
15k-25k,不限,不限,4251786
15k-30k,本科,5-10年,4741481
10k-15k,本科,3-5年,5159212
15k-30k,本科,1-3年,5052057
20k-40k,本科,3-5年,4040343
20k-25k,本科,3-5年,5183254
8k-12k,本科,1-3年,5197444
20k-35k,不限,3-5年,4763544
15k-30k,本科,3-5年,4971755
18k-35k,本科,3-5年,4271457
30k-40k,本科,3-5年,5055478
12k-20k,本科,3-5年,4953702
10k-18k,本科,1-3年,5041853
10k-20k,本科,3-5年,4788872
10k-20k,本科,1-3年,4409950
