id,薪资,学历要求,工作经验
16k-32k,不限,不限,1848261
10k-15k,大专,1-3年,5178371
10K-20K,本科,3-5年,4881286
15k-30k,本科,1-3年,4919815
25K-30K,本科,3-5年,3163509
15k-25k,本科,3-5年,5182987
10k-20k,不限,不限,5189564
10k-20k,本科,1-3年,4795820
10k-15k,本科,1-3年,5153395
18k-30k,本科,3-5年,4760851
30k-60k,本科,1-3年,4787177
15k-30k,本科,1-3年,5196324
16k-30k,本科,3-5年,4710108
15k-30k,本科,3-5年,4774989
8k-12k,本科,应届毕业生,4922625
15k-30k,本科,1-3年,4920724
15k-20k,不限,3-5年,4812239
8k-15k,本科,1-3年,4681113
20k-25k,本科,5-10年,5103050
20k-35k,本科,5-10年,5147015
18k-22k,大专,1-3年,5035064
25k-40k,本科,5-10年,5105664
15k-30k,本科,1-3年,3039292
15k-25k,本科,3-5年,5118639
20k-40k,本科,1-3年,4930881
15k-30k,本科,应届毕业生,4922605
10k-20k,本科,3-5年,5152080
15k-30k,本科,1-3年,5150318
20k-40k,本科,3-5年,4961312
15k-30k,本科,1-3年,4003848
15k-25k,本科,1-3年,5174453
20k-40k,本科,3-5年,4347326
6k-8k,本科,应届毕业生,2836316
12k-20k,大专,1-3年,5020827
20k-30k,本科,5-10年,4673242
10k-20k,本科,3-5年,4169020
5k-10k,本科,1-3年,4481573
15k-25k,本科,3-5年,5157640
10k-15k,本科,1-3年,5069941
10k-15k,本科,1-3年,2843887
15k-22k,本科,3-5年,4974341
15k-30k,本科,3-5年,4925494
10k-15k,本科,3-5年,3506303
14k-25k,本科,3-5年,5130915
20k-40k,大专,3-5年,3141917
12k-24k,大专,3-5年,4247419
15k-30k,本科,3-5年,4948107
15k-30k,本科,3-5年,4042472
8k-16k,本科,3-5年,4678231
30k-60k,本科,3-5年,4750815
20k-40k,本科,5-10年,3949421
12k-18k,不限,1-3年,4590024
8k-15k,本科,3-5年,3975620
35k-70k,本科,5-10年,3750265
20k-40k,本科,5-10年,4887620
20k-30k,本科,5-10年,2670481
8k-12k,本科,3-5年,5194377
6k-12k,本科,3-5年,4132109
10k-15k,本科,应届毕业生,5201239
18k-36k,本科,3-5年,5061632
30k-45k,博士,不限,4467769
8k-12k,大专,1-3年,4053835
20k-35k,本科,3-5年,3205292
6k-12k,不限,应届毕业生,5191474
6k-12k,本科,1-3年,4823794
10k-15k,本科,应届毕业生,5201107
25k-45k,不限,3-5年,5084806
4k-5k,本科,不限,5132097
