id,薪资,学历要求,工作经验
8k-12k,本科,3-5年,5201238
8k-15k,本科,1年以下,4096556
8k-15k,本科,1-3年,4977319
9k-12k,大专,1-3年,4762437
9K-18K,本科,1-3年,3264646
8k-15k,本科,不限,4534888
10k-20k,本科,1-3年,5195314
10k-20k,本科,3-5年,4969757
10k-15k,本科,应届毕业生,5201107
8k-15k,本科,不限,4670230
6k-12k,不限,应届毕业生,5191474
6k-12k,本科,1-3年,2805137
8k-16k,本科,1-3年,5189586
10k-20k,本科,1年以下,4715408
6k-10k,本科,3-5年,3767702
7k-12k,大专,1-3年,5137259
10k-20k,本科,1-3年,2759589
10k-18k,大专,1-3年,4778199
6k-12k,本科,1-3年,5007329
8k-15k,大专,3-5年,5088399
8k-12k,本科,3-5年,5141180
8k-15k,本科,3-5年,5055940
8k-15k,不限,3-5年,5186703
10k-20k,大专,1-3年,4767585
10k-20k,大专,3-5年,4893143
6k-10k,本科,不限,4993291
10k-15k,本科,1-3年,4363217
7k-12k,本科,1-3年,5073236
10k-20k,本科,应届毕业生,4063418
6k-12k,本科,3-5年,5029884
7k-14k,本科,3-5年,5134373
8k-15k,大专,1-3年,3462520
8k-15k,本科,应届毕业生,3730222
9k-16k,本科,3-5年,3827756
15k-25k,本科,1-3年,4277048
8k-15k,本科,1-3年,4826637
10k-20k,本科,1-3年,5154736
8k-15k,大专,3-5年,3598282
10k-20k,本科,3-5年,5007352
6k-10k,本科,1-3年,3985283
10k-20k,大专,3-5年,2799851
10k-20k,本科,1-3年,4481433
8k-15k,本科,1-3年,4542349
15k-25k,大专,3-5年,5197776
15k-30k,本科,1-3年,4372306
15k-25k,本科,1-3年,5024159
10k-15k,大专,3-5年,4738365
8k-12k,本科,不限,4844053
10k-20k,本科,3-5年,5192282
8k-12k,大专,1-3年,5170389
10k-20k,本科,1-3年,4703690
25k-50k,本科,3-5年,5067354
20k-40k,本科,3-5年,4805652
17k-30k,本科,3-5年,4722247
15k-30k,本科,3-5年,4061582
8k-12k,本科,1-3年,5176025
7k-14k,本科,1-3年,4576246
15k-30k,本科,3-5年,4206360
10k-20k,本科,应届毕业生,5072338
15k-25k,本科,3-5年,3347886
15k-30k,本科,1-3年,4352251
8k-11k,大专,1-3年,4017826
10k-20k,本科,1-3年,4027808
14k-28k,本科,3-5年,4571656
15k-30k,本科,3-5年,4964005
8k-14k,本科,1-3年,5068471
15k-30k,本科,3-5年,3226878
15k-30k,本科,3-5年,3429388
10k-20k,本科,3-5年,4949777
6k-12k,本科,1-3年,4543732
8k-13k,大专,3-5年,5177752
8k-12k,本科,3-5年,5171800
25k-50k,本科,3-5年,4413126
15k-20k,大专,5-10年,4624689
15k-25k,本科,1-3年,4051152
8K-15K,本科,1-3年,3760750
8k-15k,本科,3-5年,5131567
15k-30k,本科,3-5年,4389589
9k-15k,本科,1-3年,4804293
10k-16k,本科,1-3年,4933408
10k-15k,本科,3-5年,4542801
9k-15k,本科,1-3年,5197547
10k-20k,不限,3-5年,5196923
20k-40k,本科,3-5年,5166408
13k-25k,本科,3-5年,4558938
20k-40k,本科,3-5年,5018054
25k-40k,本科,1-3年,5007181
8k-15k,本科,3-5年,5165922
8k-12k,大专,1-3年,4800364
20k-40k,本科,3-5年,4646984
4k-8k,本科,应届毕业生,5033452
8k-12k,大专,1-3年,5139079
7K-12K,本科,1-3年,5149717
7k-13k,本科,不限,4274623
15k-30k,本科,3-5年,4646220
10k-15k,本科,3-5年,4811583
9k-18k,大专,不限,4346547
8k-14k,本科,应届毕业生,5177595
15k-30k,不限,不限,3880037
8k-15k,本科,3-5年,4076553
15k-22k,本科,1-3年,3052453
20k-30k,本科,3-5年,4976335
10k-14k,本科,1-3年,5062362
20k-40k,本科,3-5年,5044154
9k-18k,不限,1-3年,4092132
15k-30k,本科,3-5年,5016823
8k-15k,大专,不限,4892874
6k-9k,不限,1-3年,5198836
13k-25k,本科,3-5年,5143665
15k-25k,大专,3-5年,5095386
15k-30k,本科,1-3年,5198871
25k-45k,本科,3-5年,4085825
20k-40k,本科,1-3年,4317153
15k-30k,本科,不限,3343505
6k-10k,本科,不限,4150224
15k-25k,本科,不限,5027723
15k-25k,本科,3-5年,5056769
15k-30k,本科,1-3年,4609200
20k-40k,本科,1-3年,5176165
20k-40k,本科,5-10年,3684411
25k-30k,本科,3-5年,2005720
13k-26k,本科,1-3年,4071402
12k-20k,本科,1-3年,5200454
10k-20k,本科,3-5年,5073226
10k-20k,本科,1-3年,5158775
10k-20k,本科,1-3年,4654271
10k-20k,本科,3-5年,3741893
8k-15k,大专,1-3年,3185263
6k-8k,不限,1年以下,5110404
20k-30k,本科,3-5年,5139019
25k-40k,不限,3-5年,5193774
10k-15k,本科,3-5年,5138665
12k-20k,本科,1-3年,2523249
15k-25k,本科,1-3年,4041218
4k-8k,不限,1-3年,3858000
12k-16k,本科,3-5年,4185205
10k以上,本科,不限,2389515
15k-30k,本科,3-5年,4641197
12k-15k,本科,5-10年,5060638
20k-35k,本科,3-5年,1989072
10k-20k,本科,3-5年,5191407
10k-15k,本科,不限,1397844
10k-20k,本科,1-3年,4287999
30k-50k,本科,3-5年,4914136
10k-20k,本科,1-3年,5129158
15k-30k,本科,3-5年,5025000
25k-45k,本科,3-5年,4085854
9k-15k,本科,1-3年,5000970
20k-40k,本科,3-5年,5123041
10k-15k,本科,1-3年,4366843
20k-40k,本科,3-5年,5119273
10k-20k,大专,3-5年,5115621
13K-20K,本科,不限,4372742
13k-20k,本科,1-3年,4464634
6k-12k,本科,3-5年,5192195
15k-30k,本科,3-5年,5173902
15k-30k,本科,3-5年,4095850
14k-28k,本科,3-5年,4555051
5k-10k,不限,1-3年,4201158
12k-16k,本科,5-10年,5017479
5k-10k,本科,不限,3821677
20k-40k,本科,3-5年,4616716
35k-55k,本科,3-5年,4279993
12k-16k,本科,3-5年,5195543
6k-10k,不限,1-3年,5194020
25k-50k,本科,1-3年,3646323
12k-24k,本科,3-5年,4695132
15k-30k,本科,不限,4713314
10k-20k,本科,3-5年,2737629
8k-10k,不限,1-3年,3836619
7k-10k,本科,3-5年,4176203
8k-16k,本科,1-3年,3913781
10k-20k,本科,不限,4911889
15k-30k,本科,3-5年,4390763
