id,薪资,学历要求,工作经验
8k-16k,本科,不限,5015381
8k-15k,本科,应届毕业生,5028143
11k-20k,本科,应届毕业生,5102156
8k-16k,本科,3-5年,4647693
25k-50k,本科,3-5年,2559439
8k-12k,本科,5-10年,5063254
10k-15k,不限,不限,3922225
10k-15k,大专,3-5年,4194696
9k-15k,本科,不限,4659273
8k-16k,本科,1-3年,5131659
8k-12k,本科,3-5年,5194377
9k-15k,本科,1-3年,5138566
10k-20k,本科,3-5年,4043294
9k-15k,大专,3-5年,3585649
15k-25k,本科,3-5年,5043561
25k-50k,本科,3-5年,2813039
8k-15k,本科,1-3年,4371158
35k-65k,不限,不限,4917440
10k-20k,大专,3-5年,4779578
8k-12k,本科,3-5年,4693163
10k-18k,本科,1-3年,4842376
10k-20k,本科,3-5年,3318496
9k-18k,本科,3-5年,5124606
10k-16k,本科,不限,5176191
20k-40k,本科,3-5年,4661792
10k-20k,本科,5-10年,4319636
8k-12k,大专,3-5年,4954963
15k-22k,本科,3-5年,5118010
8k-15k,本科,3-5年,5173615
20k-40k,本科,5-10年,5112036
25k-50k,本科,3-5年,1760399
10k-20k,本科,3-5年,4780248
15k-30k,本科,1-3年,3766839
10k-20k,本科,3-5年,4528810
9k-18k,本科,1-3年,4940032
10k-15k,本科,1-3年,5114094
8k-12k,大专,3-5年,4085127
20k-30k,本科,3-5年,4551445
10K-20K,本科,3-5年,4322184
12k-24k,本科,3-5年,3984455
8k-15k,本科,1-3年,5181310
30k-40k,本科,5-10年,5017000
10k-18k,本科,3-5年,3977510
8k-16k,本科,1-3年,5117396
15k-30k,本科,3-5年,4463543
25k-50k,本科,3-5年,2559440
10k-20k,大专,1-3年,4099629
25k-35k,本科,5-10年,5012451
8k-15k,本科,1-3年,4937463
6k-12k,本科,1年以下,4543023
10k-15k,本科,1-3年,4878148
8k-12k,本科,1-3年,4862981
15k-25k,本科,3-5年,5028080
15k-25k,本科,3-5年,4203405
9k-17k,本科,1-3年,5134375
3k-5k,本科,应届毕业生,5075568
10k-20k,本科,3-5年,4323576
20k-30k,本科,3-5年,2785324
10k-20k,本科,3-5年,4177196
9k-18k,本科,5-10年,4409633
30k-60k,本科,3-5年,5128701
9k-17k,大专,3-5年,5162154
25k-50k,本科,5-10年,4836225
20k-40k,本科,5-10年,3854133
18k-30k,本科,3-5年,2966451
22k-25k,本科,5-10年,5162141
18k-36k,大专,5-10年,3126838
15k-25k,本科,3-5年,5145470
20k-30k,本科,1-3年,5061675
5k-10k,本科,应届毕业生,5103875
15k-30k,本科,3-5年,4533868
20k-40k,本科,5-10年,3910547
8k-15k,本科,3-5年,4314115
4k-8k,本科,1-3年,3757285
7k-14k,本科,1-3年,5160219
20k-40k,本科,3-5年,1995275
10k-16k,本科,3-5年,5076269
10k-20k,本科,1-3年,3473599
25k-35k,本科,3-5年,3989401
13k-25k,本科,3-5年,4394498
15k-30k,本科,1-3年,5096940
25k-50k,大专,5-10年,4803616
8k-15k,本科,1-3年,3451912
18k-30k,本科,1-3年,4013664
25k-35k,本科,5-10年,4156996
15k-25k,不限,3-5年,5171375
25k-40k,本科,5-10年,4071450
18k-25k,本科,3-5年,4439776
10k-20k,本科,5-10年,4562849
18k-30k,本科,3-5年,4511447
20k-40k,本科,3-5年,1995500
10k-20k,大专,3-5年,5177685
60k-90k,本科,5-10年,5161596
14k-23k,本科,3-5年,5200807
20k-25k,本科,5-10年,4951610
15k-30k,本科,3-5年,5157488
40k-60k,本科,5-10年,4801174
20k-40k,本科,3-5年,4215124
5k-10k,大专,1-3年,5143895
25k-35k,本科,5-10年,4477659
25k-35k,本科,5-10年,5134318
35k-50k,本科,5-10年,5133970
10k-15k,本科,3-5年,3367342
25k-50k,本科,3-5年,4914576
8k-12k,本科,应届毕业生,4953351
20k-40k,本科,3-5年,1597940
10k-16k,本科,1-3年,4419555
20k-35k,本科,5-10年,3088742
15k-28k,本科,3-5年,4951737
8k-16k,本科,1-3年,4716740
15k-30k,本科,5-10年,4262280
10k-20k,本科,1-3年,4138150
10k-18k,大专,1-3年,5085273
25k-50k,本科,5-10年,4380518
15k-25k,本科,3-5年,5021258
30k-60k,本科,3-5年,4715751
15k-30k,本科,3-5年,4585069
3k-4k,本科,不限,5201119
25k-40k,本科,3-5年,2272004
20k-40k,本科,3-5年,4557672
20k-40k,本科,3-5年,1819720
25K-40K,本科,5-10年,4883618
12k-24k,大专,3-5年,3551792
10k-15k,本科,1-3年,3554980
30k-50k,本科,5-10年,4640719
1k-2k,本科,3-5年,4852193
15k-30k,本科,3-5年,3623526
25k-50k,本科,5-10年,4748578
10k-20k,本科,1-3年,4326237
15k-20k,本科,3-5年,4939352
10k-20k,本科,3-5年,4541802
25k-50k,本科,5-10年,5185515
18k-30k,本科,5-10年,5118039
30k-60k,本科,5-10年,5081608
20k-25k,本科,3-5年,4516303
30k-60k,本科,3-5年,3820414
25k-45k,本科,3-5年,4938649
20k-40k,本科,3-5年,5078304
20k-40k,本科,3-5年,4909916
30k-50k,本科,5-10年,4979442
15k-30k,本科,3-5年,5109589
20k-27k,本科,3-5年,4983819
8k-12k,大专,1-3年,4672579
15k-25k,本科,3-5年,4916887
8k-15k,本科,不限,2106700
13k-22k,本科,1-3年,5139508
50k-60k,本科,5-10年,5171031
