id,薪资,学历要求,工作经验
10k-20k,本科,3-5年,4812837
8k-15k,大专,1-3年,5081865
10k-20k,本科,3-5年,3271342
9k-14k,本科,3-5年,4059267
8k-15k,大专,3-5年,5173559
7k-12k,本科,1-3年,5094094
8k-15k,大专,3-5年,4265646
7k-14k,大专,3-5年,4426819
8k-12k,本科,1-3年,5183495
8k-12k,本科,不限,5148941
8k-15k,硕士,应届毕业生,5028573
10k-20k,本科,1-3年,3477667
6k-12k,本科,3-5年,4891395
10k-20k,本科,3-5年,5200209
10k-20k,大专,1-3年,5200870
10k-20k,本科,3-5年,4570294
8k-12k,本科,1-3年,4495794
8k-15k,大专,3-5年,4847393
8k-15k,本科,3-5年,5045618
6k-12k,本科,1-3年,4780971
6k-12k,大专,3-5年,4197662
8k-15k,大专,3-5年,5173411
8k-15k,本科,1-3年,5196780
8k-16k,本科,1-3年,5195131
6k-12k,大专,不限,4659746
8k-10k,本科,1-3年,3058921
10k-20k,本科,3-5年,2733912
6k-10k,本科,1-3年,4587873
10k-20k,大专,3-5年,4799136
8k-13k,本科,1-3年,5138763
10k-20k,本科,应届毕业生,5031502
10k-15k,本科,3-5年,3637090
5k-9k,本科,1年以下,4835356
6k-12k,本科,应届毕业生,4469725
6k-10k,大专,3-5年,4015171
10k-20k,本科,不限,4448943
8k-15k,本科,1-3年,5129616
6k-12k,本科,1-3年,4457724
6k-10k,本科,1-3年,3167494
9k-18k,本科,3-5年,5165983
7k-14k,本科,3-5年,4937116
8k-15k,本科,1-3年,3301174
10k-20k,本科,1-3年,5186742
8k-12k,本科,1-3年,794558
8k-15k,本科,3-5年,5178485
10k-20k,本科,3-5年,4967491
10k-20k,大专,3-5年,3918175
8k-13k,大专,1-3年,5172603
8k-16k,本科,1-3年,4586305
8k-10k,本科,3-5年,2135933
10k-20k,本科,1-3年,5143470
8k-15k,本科,1-3年,5095446
8k-15k,本科,3-5年,5156879
8k-15k,本科,3-5年,5073461
10k-20k,本科,1-3年,4668206
7k-14k,本科,1-3年,5105155
6k-9k,本科,1-3年,4235789
10k-20k,本科,3-5年,1396191
8k-15k,本科,1-3年,5081948
8k-15k,本科,1-3年,3261881
15k-25k,本科,3-5年,5200975
8k-15k,本科,3-5年,4349668
10k-20k,本科,1-3年,3358144
3k-5k,本科,应届毕业生,5200842
8k-15k,本科,1-3年,4655038
5k-10k,大专,1-3年,4887005
10k-15k,本科,5-10年,4057574
7k-10k,本科,1年以下,4864876
10k-20k,本科,3-5年,2716397
10k-18k,本科,3-5年,4855596
10k-20k,本科,不限,2478382
8k-16k,硕士,1-3年,4113089
8k-12k,本科,3-5年,2277366
7k-14k,本科,1-3年,5186084
8k-15k,本科,1-3年,4618640
10k-20k,本科,3-5年,4975212
10k-20k,本科,1-3年,883080
8k-12k,本科,1-3年,5116181
9k-14k,本科,不限,3473761
8K-15K,本科,3-5年,4569927
5k-9k,本科,1-3年,5065055
8k-15k,本科,1-3年,4024564
10k-20k,本科,1-3年,4613724
8k-15k,本科,1-3年,4951795
9k-18k,硕士,1-3年,4883641
8k-12k,硕士,1-3年,4021708
10K-20K,本科,3-5年,4381163
6k-12k,本科,1-3年,5146377
8k-15k,本科,1-3年,4956934
10k-15k,本科,1-3年,4017275
10k-18k,本科,1-3年,5182733
10k-15k,本科,1-3年,5169656
8k-15k,本科,3-5年,4772960
8k-12k,本科,3-5年,4619433
15k-25k,本科,3-5年,5075030
6k-10k,本科,1-3年,5117270
6k-8k,大专,1-3年,3972272
10k-20k,本科,应届毕业生,3312357
10k-20k,本科,3-5年,3485507
15k-30k,本科,3-5年,3898857
9k-18k,不限,1-3年,2798853
10k-20k,本科,3-5年,5021861
5k-10k,大专,不限,4315150
12k-24k,本科,3-5年,3045803
7k-10k,本科,不限,4611757
10k-20k,本科,3-5年,5020913
8k-15k,本科,应届毕业生,5154603
10k-15k,不限,不限,4436287
10k-20k,本科,1-3年,4867568
6k-10k,大专,1-3年,4916008
8k-12k,本科,不限,4094134
10k-15k,本科,1-3年,3968931
10k-20k,本科,3-5年,4718535
8k-15k,本科,1-3年,4841470
20k-40k,本科,3-5年,4829465
10k-20k,本科,3-5年,4610917
6k-9k,本科,1-3年,4973641
8k-11k,本科,1-3年,5116576
10k-20k,本科,1-3年,4883615
10k-15k,本科,3-5年,4894329
10k-17k,本科,3-5年,5198666
8k-15k,本科,3-5年,3311874
15k-30k,本科,1-3年,4999438
10k-15k,硕士,1-3年,4097059
10k-20k,本科,3-5年,4367648
10k-20k,本科,3-5年,4746664
7k-14k,本科,1-3年,3265406
10k-20k,本科,不限,5115494
9k-12k,本科,不限,4168213
10k-15k,本科,3-5年,4263320
8k-12k,本科,3-5年,4317690
8k-16k,本科,1-3年,4354394
15k-25k,本科,3-5年,4313117
12k-18k,本科,3-5年,5182746
10k-15k,本科,1-3年,4900597
25k-45k,本科,3-5年,4206490
10k-20k,本科,3-5年,3898091
10k-15k,本科,1-3年,5083306
8k-16k,本科,1-3年,5133011
15k-20k,大专,3-5年,4720220
15k-30k,本科,5-10年,4999054
8k-12k,本科,1-3年,5032323
8k-15k,本科,3-5年,5179838
8k-12k,本科,3-5年,4263133
15k-25k,大专,3-5年,4974623
8k-11k,本科,1-3年,5116635
7k-10k,大专,1-3年,5201096
10k-15k,不限,不限,4369679
10k-15k,本科,3-5年,4943357
6k-12k,大专,1年以下,4906636
15k-25k,大专,1-3年,5185011
9k-13k,大专,3-5年,3646985
8k-12k,本科,3-5年,5046470
8k-16k,本科,1-3年,5038189
12k-20k,本科,1-3年,5200393
7k-14k,本科,3-5年,5151461
15k-25k,本科,1-3年,3809441
10k-20k,本科,3-5年,3927514
15k-30k,本科,3-5年,4445500
6k-12k,本科,1-3年,4045992
6k-8k,本科,应届毕业生,5199657
12k-15k,本科,3-5年,5072860
10k-15k,本科,5-10年,5138372
6k-10k,本科,3-5年,5111331
10k-20k,本科,1-3年,3803867
6k-8k,不限,不限,4135130
10k-20k,本科,3-5年,3692994
15k-25k,不限,3-5年,5179680
8k-12k,本科,1-3年,4318071
15k-30k,本科,1-3年,4013707
12k-24k,本科,3-5年,5146880
6k-12k,本科,应届毕业生,5049709
10k-20k,本科,1-3年,3742366
8k-12k,本科,应届毕业生,4981459
14k-20k,本科,5-10年,2880998
14k-18k,本科,3-5年,3345573
8k-15k,本科,1-3年,4896477
8k-15k,本科,1-3年,3895127
8k-10k,本科,1年以下,4948249
8k-15k,本科,3-5年,5004483
10k-20k,大专,3-5年,5084058
10k-20k,本科,1-3年,4699663
10k-20k,本科,3-5年,4280690
6k-9k,本科,1-3年,5180638
15k-30k,本科,不限,4774830
13k-14k,本科,3-5年,4675949
8k-15k,本科,1-3年,4921020
10k-20k,本科,3-5年,4935538
20k-40k,不限,3-5年,5024497
6k-12k,本科,1年以下,5137257
5k-10k,本科,3-5年,5109722
10k-20k,本科,3-5年,3737707
10k-20k,硕士,1-3年,4734246
12k-24k,本科,3-5年,5109473
23k-30k,本科,3-5年,4845373
10k-20k,本科,3-5年,3615419
20k-40k,本科,5-10年,5197504
7k-10k,本科,1-3年,3798368
6k-8k,本科,1-3年,4229419
15k-25k,硕士,1-3年,5101825
20k-40k,本科,3-5年,3919528
6k-12k,本科,不限,4749639
10k-20k,本科,3-5年,3450318
3k-4k,本科,不限,4746152
15k-25k,本科,1年以下,4974390
15k-30k,本科,3-5年,5075722
7k-14k,本科,1-3年,4461562
8k-12k,本科,1-3年,5058274
7k-14k,本科,不限,5170808
20k-35k,本科,1-3年,3761791
10k-20k,本科,1-3年,4963925
7k-11k,本科,3-5年,5190129
7k-14k,硕士,1-3年,3418311
8k-16k,本科,1-3年,4904885
15k-25k,本科,3-5年,4519084
35k-45k,本科,3-5年,4555438
22k-44k,本科,3-5年,1354572
7k-14k,本科,1-3年,5166032
9k-10k,本科,1-3年,4962307
9k-16k,本科,1-3年,4054441
10k-15k,本科,不限,4930222
8k-13k,本科,应届毕业生,4770813
8k-16k,本科,1-3年,4067085
10k-20k,本科,3-5年,3633604
7k-14k,不限,1-3年,4344409
15k-30k,硕士,1-3年,5082453
8k-15k,本科,1-3年,4775015
10k-20k,大专,1-3年,5199235
6k-8k,大专,1-3年,4430338
5k-10k,本科,1-3年,4689389
8k-12k,大专,1-3年,4670366
8k-15k,本科,1-3年,5103402
10k-20k,本科,3-5年,4165118
15k-25k,不限,1-3年,4207065
15k-30k,本科,3-5年,4550576
10k-20k,本科,3-5年,5178626
8k-14k,本科,1-3年,4810670
15k-30k,本科,1年以下,3461300
10k-20k,本科,3-5年,4399365
8k-16k,本科,1-3年,5028233
25k-45k,本科,3-5年,4206496
10k-20k,本科,1-3年,3962570
7k-14k,本科,1-3年,4270802
20k-30k,本科,5-10年,5115696
10k-20k,本科,3-5年,5182790
12k-18k,本科,3-5年,5117642
15k-30k,本科,3-5年,4996337
10k-15k,本科,应届毕业生,4595381
8k-9k,大专,1-3年,4909114
10k-15k,本科,3-5年,4943378
7k-10k,大专,1-3年,5024111
8k-10k,本科,1-3年,4608243
6k-10k,不限,1-3年,4283635
15k-25k,本科,3-5年,5003447
12k-18k,本科,1-3年,5200936
15k-30k,硕士,1-3年,5066649
25k-40k,本科,3-5年,4998655
8k-15k,不限,1-3年,4509530
5k-8k,大专,1-3年,3184194
20k-30k,本科,3-5年,4936805
10k-20k,本科,1-3年,3493586
15k-30k,本科,3-5年,4868446
7K-14K,大专,3-5年,3607041
12k-22k,本科,1-3年,5074586
25k-35k,本科,3-5年,4540171
14k-20k,不限,1-3年,4890544
12k-24k,本科,5-10年,4753666
15k-30k,本科,3-5年,4629774
12k-22k,本科,3-5年,4755597
6k-9k,大专,1-3年,4465656
35k-45k,本科,3-5年,4209167
10k-20k,大专,3-5年,5188255
5k-7k,大专,不限,4338035
15k-30k,本科,3-5年,5167551
15k-30k,本科,1-3年,4288262
8k-15k,本科,3-5年,5043449
6k-10k,本科,1-3年,5186169
10k-20k,本科,1-3年,5132872
10k-20k,不限,3-5年,5151976
12k-20k,本科,3-5年,4524170
15k-30k,本科,3-5年,3470095
6k-10k,本科,1-3年,4949374
6k-10k,本科,1-3年,3884207
15k-25k,本科,3-5年,3984989
20k-35k,本科,5-10年,4141349
8k-15k,本科,1-3年,5115738
9k-14k,大专,3-5年,5081191
10k-20k,本科,1-3年,4775606
8k-15k,本科,1-3年,4534148
15k-25k,本科,3-5年,4941386
10k-15k,硕士,1-3年,5021443
15k-23k,本科,3-5年,4886603
5k-7k,本科,1-3年,5132821
5k-10k,大专,1-3年,5185442
13k-26k,大专,3-5年,4029391
10k-20k,本科,1-3年,4902158
15k-30k,本科,3-5年,5183199
12k-18k,本科,1-3年,5124112
12k-20k,硕士,3-5年,4984558
15k-25k,不限,1-3年,5161619
10k-20k,本科,3-5年,3744159
15k-20k,本科,1-3年,5200736
4k-7k,本科,1-3年,5194078
15k-25k,本科,3-5年,5024476
10k-16k,本科,1-3年,2754502
8k-12k,本科,1-3年,4812475
8k-15k,本科,1-3年,4908051
8K-12K,本科,3-5年,4834299
10k-18k,本科,1-3年,5178850
15k-30k,本科,3-5年,4484600
15k-30k,本科,3-5年,4490433
15k-30k,本科,3-5年,4810047
