id,薪资,学历要求,工作经验
7k-14k,本科,3-5年,5089510
8k-15k,硕士,不限,176966
8k-16k,本科,3-5年,3615931
8k-15k,本科,1-3年,4674792
10k-20k,本科,不限,5110142
8k-15k,本科,3-5年,5088517
15k-30k,本科,1-3年,5200271
25k-50k,本科,3-5年,5067344
25k-50k,本科,3-5年,3625648
10k-13k,本科,不限,4836834
10k-18k,本科,1-3年,5192033
15k-30k,本科,不限,3641457
15k-30k,本科,3-5年,5130335
8k-16k,本科,1-3年,4950275
10k-20k,本科,1-3年,4915552
30k-60k,本科,3-5年,4859883
8k-13k,本科,1-3年,5097920
6k-10k,本科,3-5年,3417630
15k-25k,本科,1-3年,4726407
15k-30k,本科,不限,1890132
25k-40k,本科,3-5年,5080860
15k-30k,本科,3-5年,5146042
15k-20k,本科,3-5年,5182753
30k-60k,本科,3-5年,4636197
20k-40k,本科,3-5年,4951092
10k-15k,本科,1-3年,5007179
15k-30k,本科,不限,5200443
15k-30k,本科,1-3年,2268858
25k-45k,本科,3-5年,5024540
25k-35k,本科,3-5年,4098921
25k-50k,本科,3-5年,4727796
15k-25k,本科,1-3年,4051374
15k-30k,本科,不限,4884332
20k-35k,本科,不限,596198
8k-10k,硕士,应届毕业生,5068544
18k-36k,本科,3-5年,5196537
15k-25k,本科,3-5年,3891154
20k-40k,本科,3-5年,5164602
18k-30k,本科,3-5年,3714815
15k-25k,本科,3-5年,3691255
40k-70k,本科,1-3年,5120316
15k-25k,本科,3-5年,5037815
13k-18k,本科,1-3年,5154505
14k-20k,不限,1-3年,4890540
20k-40k,本科,3-5年,4031496
20k-40k,本科,1-3年,4890804
15k-20k,本科,3-5年,5182743
20k-40k,本科,3-5年,1393788
10k-20k,本科,3-5年,4773254
10k-20k,不限,不限,5159762
20k-40k,本科,5-10年,4583202
25k-45k,本科,5-10年,4998707
25k-45k,本科,1-3年,3865597
15k-30k,本科,3-5年,4746056
20k-40k,本科,3-5年,5188614
25k-45k,本科,1-3年,4660310
20k-30k,本科,3-5年,5081864
10k-20k,本科,3-5年,4918013
25k-33k,本科,5-10年,3565204
15K-30K,本科,3-5年,4942744
25k-35k,本科,5-10年,4936760
20k-35k,本科,3-5年,5159104
20k-40k,本科,3-5年,5106260
25k-30k,本科,3-5年,4730069
12k-20k,本科,1-3年,4750323
25k-50k,本科,1-3年,3383905
9k-18k,本科,3-5年,5144103
25k-45k,硕士,3-5年,4957145
20k-35k,本科,5-10年,4666528
30k-50k,本科,3-5年,4783160
10k-20k,本科,1-3年,4866881
20k-40k,本科,3-5年,3251068
20k-35k,本科,5-10年,4868771
25k-35k,本科,3-5年,4939385
8k-15k,本科,不限,5172565
20k-40k,本科,3-5年,4693669
4k-8k,本科,应届毕业生,5122202
15k-25k,本科,1-3年,5198905
20k-40k,本科,1-3年,4414860
25k-50k,本科,3-5年,4560877
20k-40k,本科,5-10年,5074991
20k-40k,本科,3-5年,5188707
25k-35k,本科,5-10年,5131664
20k-40k,本科,3-5年,3395151
20k-40k,本科,不限,4543433
10k-20k,本科,3-5年,3821029
40k-60k,本科,5-10年,3403603
29k-45k,本科,1-3年,4762899
10k-20k,本科,5-10年,5080555
15k-25k,大专,5-10年,4004420
25k-35k,本科,3-5年,4739003
20k-40k,硕士,3-5年,5145100
10k-15k,本科,1-3年,5193087
10k-20k,本科,1-3年,5183919
25k-40k,本科,5-10年,5113458
20k-40k,本科,3-5年,4009843
10k-20k,本科,3-5年,4586663
10k-20k,本科,1-3年,4904872
25k-50k,本科,3-5年,4772816
20k-40k,本科,3-5年,4819334
15k-20k,本科,1-3年,5200906
4k-8k,本科,应届毕业生,5122143
18k-25k,本科,3-5年,4821272
25k-50k,本科,1-3年,4288305
15k-25k,本科,3-5年,5131801
20k-35k,本科,3-5年,5040781
20k-40k,本科,1-3年,2693982
20k-40k,本科,不限,2944834
30k-45k,本科,5-10年,4659984
15k-30k,本科,3-5年,5001846
25k-40k,本科,5-10年,4854824
15k-25k,本科,3-5年,5020541
15k-30k,本科,1-3年,5155331
20k-30k,本科,3-5年,4400606
6k-12k,硕士,应届毕业生,5045738
8k-15k,本科,1-3年,5149041
12k-24k,不限,3-5年,4137514
10k-20k,博士,不限,5140045
25k-50k,本科,3-5年,4889256
20k-30k,本科,3-5年,5106935
15k-30k,本科,3-5年,5194621
20k-40k,本科,3-5年,5188578
25k-35k,本科,3-5年,4681986
15k-30k,本科,3-5年,5143793
20k-40k,硕士,3-5年,4157227
15k-25k,硕士,3-5年,2836397
20k-25k,本科,3-5年,4376361
10k-15k,本科,1-3年,4203086
15k-25k,本科,3-5年,1410851
25k-35k,本科,5-10年,5100139
8k-15k,硕士,应届毕业生,5045700
30k-60k,本科,3-5年,5112500
20k-40k,硕士,不限,5029196
30k-50k,本科,3-5年,5062913
20k-40k,硕士,5-10年,4936686
15k-25k,本科,不限,5102015
20k-35k,本科,3-5年,4753234
20k-40k,本科,1-3年,4418134
25k-50k,本科,3-5年,4354827
20k-40k,本科,3-5年,4434795
10k-20k,本科,不限,5155845
30k-50k,本科,5-10年,5007868
30k-50k,硕士,3-5年,4608494
15k-25k,本科,3-5年,5187569
15k-25k,本科,3-5年,3741689
30k-60k,本科,3-5年,5027861
25k-50k,硕士,5-10年,4524520
6k-10k,大专,1-3年,2902948
8k-16k,本科,3-5年,2314879
9k-18k,本科,3-5年,4702654
15k-30k,本科,1-3年,4962536
15k-25k,本科,1-3年,2109643
