id,薪资,学历要求,工作经验
6k-12k,本科,1-3年,5185075
10k-20k,本科,3-5年,5164547
30k-60k,本科,3-5年,4945053
10k-20k,本科,不限,4215147
20k-40k,本科,3-5年,4178912
25k-50k,本科,3-5年,5178769
7k-14k,本科,应届毕业生,5069880
25k-50k,本科,3-5年,4830252
30k-60k,本科,1-3年,4923424
20k-40k,硕士,3-5年,4661381
25k-50k,本科,3-5年,3399269
10k-20k,本科,1年以下,5104320
8k-15k,硕士,应届毕业生,5117681
15k-30k,本科,3-5年,4826595
20k-35k,本科,3-5年,4790952
15k-30k,硕士,1-3年,4988192
8k-15k,硕士,应届毕业生,5117631
10k-20k,本科,1-3年,4628132
30k-60k,硕士,3-5年,4783626
20k-40k,本科,3-5年,4578155
20k-40k,本科,不限,4110103
33k-50k,本科,3-5年,4280034
30k-50k,本科,3-5年,4799656
18k-35k,本科,1-3年,4989450
15k-25k,硕士,应届毕业生,3993690
25k-40k,本科,3-5年,3122212
20k-40k,本科,3-5年,5028007
25k-35k,本科,3-5年,5153530
20k-30k,硕士,3-5年,3828876
15k-25k,硕士,不限,3012191
20k-40k,本科,3-5年,3672217
5k-8k,本科,不限,4797290
12k-23k,硕士,1-3年,5047242
20k-40k,本科,3-5年,4052410
20k-40k,本科,应届毕业生,4100573
25k-40k,本科,3-5年,3569967
15k-25k,本科,1-3年,4606387
20k-35k,本科,1-3年,3962403
25k-50k,本科,不限,4671508
20k-40k,本科,3-5年,3634646
12k-24k,硕士,3-5年,4623284
10k-20k,硕士,1-3年,4993526
30k-60k,本科,3-5年,5027864
20k-30k,本科,1-3年,5155322
7k-12k,本科,应届毕业生,5193086
50k-70k,本科,1-3年,5070993
30k-60k,本科,3-5年,4876926
15k-30k,本科,3-5年,3936367
3k-4k,硕士,应届毕业生,4994383
20k-30k,硕士,3-5年,4138473
30k-60k,本科,3-5年,4844176
20k-40k,硕士,1-3年,3927530
40k-80k,本科,3-5年,3905026
14k-25k,硕士,应届毕业生,3419057
25k-50k,本科,3-5年,4577967
10k-20k,硕士,不限,4231406
20k-40k,本科,3-5年,5096832
30k-60k,本科,5-10年,3768683
25k-45k,本科,3-5年,3985100
25k-50k,本科,3-5年,4028050
15k-30k,本科,不限,5096593
20k-40k,本科,3-5年,4717878
20k-35k,本科,1-3年,4694679
20k-40k,本科,5-10年,4908961
6k-12k,本科,1年以下,5155571
15k-30k,本科,1-3年,4408227
10k-20k,硕士,3-5年,5152364
35k-65k,硕士,5-10年,3267172
30K-60K,硕士,1-3年,4188539
30k-45k,硕士,3-5年,4309240
15k-30k,本科,1-3年,4835725
30k-60k,本科,1-3年,5074920
25k-28k,本科,应届毕业生,4973340
4k-6k,本科,应届毕业生,4796867
25k-50k,本科,1-3年,4561558
