id,薪资,学历要求,工作经验
30k-45k,本科,5-10年,5140376
35k-70k,本科,3-5年,4492879
30k-40k,大专,5-10年,4453106
25k-50k,本科,5-10年,5200927
18k-30k,本科,3-5年,4063467
15k-25k,本科,5-10年,5030920
25k-35k,本科,5-10年,5197528
30k-50k,本科,5-10年,3514446
10k-20k,本科,5-10年,3222303
20k-40k,本科,5-10年,5088773
30k-45k,本科,5-10年,5157707
30k-60k,本科,5-10年,4944789
20k-30k,大专,5-10年,4951074
15k-30k,本科,5-10年,4105836
20k-30k,本科,3-5年,4117359
30k-50k,本科,3-5年,4334385
28k-38k,本科,5-10年,3429957
20k-30k,大专,5-10年,3411777
8k-15k,不限,不限,5181814
12k-24k,本科,5-10年,4897733
20k-30k,不限,5-10年,2388577
15k-25k,本科,5-10年,1123743
40k-50k,本科,5-10年,4928736
30k-40k,大专,5-10年,2783597
20k-40k,不限,3-5年,2865061
50k-100k,本科,3-5年,4940513
15k-25k,本科,5-10年,2764807
30k-50k,本科,5-10年,4107166
25k-40k,本科,5-10年,3576757
20k-40k,本科,3-5年,4579683
20k-40k,本科,5-10年,4841232
25k-35k,本科,5-10年,1791879
20k-40k,本科,3-5年,1286678
35k-70k,本科,3-5年,4492911
8k-15k,本科,不限,3896299
30k-50k,本科,3-5年,5191547
25k-50k,本科,5-10年,3392841
20k-25k,不限,不限,4309704
30k-40k,本科,5-10年,5152181
30k-40k,本科,5-10年,4919172
10k-20k,大专,5-10年,5168304
25k-35k,大专,5-10年,5100590
16k-30k,大专,5-10年,3685018
18k-36k,本科,5-10年,3453042
30k-50k,本科,5-10年,4271096
20k-40k,本科,3-5年,3792689
30k-50k,本科,5-10年,3407090
35k-70k,本科,3-5年,4492932
25k-40k,本科,5-10年,4930301
15k-30k,本科,3-5年,4059402
20k-40k,本科,5-10年,4888877
25k-35k,本科,5-10年,5094140
30k-50k,大专,3-5年,4771762
10k-20k,本科,5-10年,4144485
35k-50k,本科,5-10年,5034936
15k-30k,本科,5-10年,3351148
25k-35k,本科,5-10年,4651551
25k-40k,本科,5-10年,4647942
10k-15k,不限,3-5年,4314035
20k-30k,本科,3-5年,4268128
20k-40k,本科,3-5年,1567384
30k-60k,本科,5-10年,4976028
6k-8k,大专,1-3年,4205701
25k-50k,不限,5-10年,5092277
18k-36k,本科,5-10年,4845537
35k-45k,本科,5-10年,5079949
8k-15k,本科,不限,5168236
9k-15k,本科,3-5年,5098725
30k-50k,大专,5-10年,4896779
25k-50k,本科,5-10年,1462964
30k-60k,不限,5-10年,5012321
35k-45k,本科,5-10年,4739690
15k-25k,本科,5-10年,5130542
30k-45k,本科,5-10年,5168528
25k-40k,本科,5-10年,4535122
20k-40k,本科,3-5年,3960392
20k-30k,本科,5-10年,2927769
20k-40k,本科,3-5年,4134142
30k-50k,本科,5-10年,4514378
25k-30k,大专,5-10年,2732196
18k-30k,大专,5-10年,5105619
25k-50k,本科,3-5年,5067608
18K-30K,大专,5-10年,1942984
30k-50k,本科,5-10年,4666716
20k-30k,大专,5-10年,5199998
25k-35k,本科,5-10年,4189028
10k-20k,本科,1-3年,4699217
30k-50k,本科,5-10年,5029641
25k-40k,本科,3-5年,3222110
40k-80k,本科,5-10年,4805969
20k-40k,本科,3-5年,3830653
25k-50k,大专,3-5年,5200498
25k-50k,本科,5-10年,4852381
25k-40k,本科,5-10年,3862184
25k-35k,不限,3-5年,3044819
8k-12k,本科,3-5年,3620880
18k-25k,本科,3-5年,4526459
20k-25k,本科,5-10年,4219979
30k-50k,本科,5-10年,4563804
35k-70k,本科,10年以上,5160330
20k-26k,本科,5-10年,3724117
20k-35k,本科,5-10年,5140651
15k-20k,本科,3-5年,5149738
30k-50k,本科,5-10年,5189109
40k-70k,本科,不限,5121025
20k-40k,本科,3-5年,4075165
30k-50k,本科,5-10年,4862683
20k-35k,本科,5-10年,3365571
20k-30k,本科,5-10年,5093040
30k-50k,本科,5-10年,3988777
10k-20k,不限,3-5年,4697181
20k-40k,本科,3-5年,5037550
15k-25k,本科,5-10年,4444430
25k-50k,本科,5-10年,1457287
20k-40k,本科,5-10年,5025343
30k-40k,本科,5-10年,4817584
30k-50k,本科,3-5年,3263721
20k-30k,本科,5-10年,5073786
15k-25k,本科,3-5年,5187310
25k-40k,本科,5-10年,5136179
20k-40k,本科,3-5年,3830834
20k-40k,本科,3-5年,3263008
20k-30k,本科,5-10年,5073789
30k-50k,大专,5-10年,3284974
30k-45k,本科,5-10年,4500351
