id,薪资,学历要求,工作经验
10k-12k,本科,1-3年,4617126
8k-15k,大专,3-5年,4798471
8k-15k,大专,3-5年,5192985
9k-12k,本科,1-3年,4351832
8k-16k,本科,1-3年,2732050
9k-18k,大专,3-5年,3428335
8k-16k,大专,1-3年,3761182
8k-15k,大专,3-5年,5197644
6k-12k,大专,1-3年,5199604
10k-20k,大专,3-5年,5040497
10k-20k,大专,3-5年,4825563
10k-12k,本科,5-10年,4717482
10k-20k,大专,3-5年,5183051
7k-10k,本科,1-3年,4819518
15k-30k,本科,3-5年,5145828
9k-10k,本科,1-3年,4617139
10k-20k,本科,3-5年,5201138
10k-20k,本科,3-5年,4227050
10k-20k,大专,5-10年,5154399
8k-15k,本科,1-3年,4287992
10k-15k,本科,3-5年,2716977
10k-20k,本科,1-3年,2869667
10k-15k,本科,3-5年,5096510
10k-20k,本科,1-3年,4324358
15k-30k,本科,3-5年,4832328
10k-15k,大专,1年以下,4751963
10k-20k,本科,3-5年,5108194
10k-20k,本科,1-3年,4530414
10k-15k,本科,1-3年,1793610
8k-12k,本科,1-3年,4178312
15k-20k,本科,3-5年,4462011
10k-20k,本科,3-5年,5168747
8k-12k,本科,1-3年,4623898
10k-20k,本科,3-5年,4768774
6k-12k,本科,3-5年,5012944
25k-35k,本科,3-5年,5200295
8k-16k,不限,3-5年,4872349
8K-12K,本科,3-5年,4425319
15k-30k,本科,3-5年,5049332
6k-10k,本科,3-5年,5127256
6k-8k,大专,3-5年,5107970
10k-20k,大专,5-10年,4311038
9k-18k,本科,3-5年,4546655
18k-35k,本科,1-3年,4751886
10k-20k,本科,3-5年,4898644
15k-24k,大专,3-5年,5134438
8k-16k,本科,1-3年,4108209
15k-30k,本科,1-3年,5088789
12k-16k,本科,3-5年,5196638
8k-12k,不限,1-3年,4567592
5k-10k,本科,应届毕业生,5182883
8k-12k,大专,1-3年,4591400
15k-25k,本科,3-5年,3472730
6k-12k,本科,1-3年,5038974
15k-30k,本科,3-5年,4102512
15k-25k,本科,1-3年,5199597
8k-15k,大专,3-5年,5150273
8k-12k,本科,3-5年,4658244
10k-20k,不限,1-3年,4737574
15k-30k,本科,1-3年,3888123
12k-18k,本科,3-5年,4743008
20k-30k,本科,3-5年,4844574
9k-12k,大专,1-3年,5102965
10k-15k,本科,1-3年,4842333
15k-25k,本科,不限,4993951
15k-25k,本科,3-5年,4695486
15k-25k,本科,不限,5166559
15k-20k,本科,3-5年,5147682
18k-30k,本科,3-5年,5030818
20k-40k,本科,3-5年,4520626
10k-20k,本科,3-5年,4405712
20k-25k,本科,5-10年,5106110
15k-30k,大专,3-5年,4743600
15k-25k,本科,1-3年,4118365
15k-30k,本科,1-3年,4476602
20k-40k,本科,3-5年,4996432
15k-25k,本科,5-10年,5142811
10k-20k,不限,3-5年,2809642
11k-22k,本科,3-5年,4686302
20k-40k,本科,3-5年,4672217
10k-18k,不限,1-3年,2067866
10k-15k,本科,1-3年,4925363
15k-25k,大专,3-5年,4678482
20k-40k,本科,5-10年,4830133
15k-30k,本科,5-10年,4203044
10k-20k,本科,不限,5194784
10k-20k,本科,1-3年,5103406
12k-20k,本科,1-3年,4897258
10k-20k,本科,应届毕业生,5132379
15k-25k,本科,5-10年,5039428
10k-20k,不限,不限,4877883
15k-30k,本科,3-5年,5059610
20k-40k,本科,3-5年,3158320
8K-14K,本科,1-3年,4633651
13k-26k,本科,3-5年,5105209
15k-30k,本科,3-5年,5159233
10K-20K,大专,1-3年,4796974
10k-12k,大专,3-5年,5091869
10k-20k,本科,1-3年,4845930
8k-14k,大专,1-3年,5182806
20k-30k,本科,1-3年,4991152
8k-15k,本科,1-3年,5103001
25k-40k,大专,5-10年,4308633
15k-30k,本科,3-5年,4919747
15k-30k,本科,3-5年,3921733
8k-16k,不限,1-3年,5195463
8k-15k,本科,1-3年,5142608
12k-24k,不限,不限,4819541
15k-20k,大专,3-5年,5105489
9k-18k,大专,1-3年,3505606
10k-20k,本科,3-5年,3879270
20k-40k,本科,3-5年,2353622
25k-50k,本科,3-5年,4923478
20k-40k,本科,5-10年,4824131
8k-15k,本科,1-3年,5147519
10k-20k,本科,3-5年,5114854
13k-25k,大专,1-3年,4811323
12k-24k,大专,3-5年,4235959
8k-13k,本科,1-3年,3969659
20k-35k,本科,3-5年,5067830
12k-24k,不限,不限,4816299
5k-9k,本科,应届毕业生,5038526
15k-20k,本科,3-5年,4925878
8k-15k,本科,3-5年,4875869
23k-45k,本科,3-5年,4941603
15k-30k,本科,不限,4668402
20k-40k,本科,3-5年,4536174
15k-25k,本科,3-5年,4433630
15K-30K,本科,5-10年,4796478
15k-30k,本科,3-5年,4327566
12k-24k,本科,1-3年,4628294
30k-60k,本科,5-10年,5188551
15k-30k,本科,3-5年,868174
10k-20k,不限,不限,5144034
15k-30k,本科,3-5年,4683211
15k-30k,本科,3-5年,4555640
17k-30k,本科,3-5年,5161059
10k-20k,本科,3-5年,4290920
10k-20k,本科,3-5年,5140015
25k-35k,本科,5-10年,4917246
10k-20k,本科,应届毕业生,5144922
10k-15k,本科,3-5年,4668815
15k-30k,本科,1-3年,3887186
9k-18k,本科,1-3年,4862809
15k-30k,大专,不限,3964765
10k-20k,本科,1-3年,3376423
10k-18k,大专,3-5年,3568585
7k-10k,本科,3-5年,4168062
15k-30k,本科,3-5年,4521625
15k-25k,本科,1-3年,5101868
20k-40k,本科,5-10年,4521575
10k-20k,本科,3-5年,5178388
20k-30k,本科,3-5年,5095261
10k-20k,本科,1-3年,4262626
15k-25k,本科,3-5年,3385052
20k-40k,本科,5-10年,4824123
7k-12k,硕士,应届毕业生,3553717
10k-18k,本科,3-5年,4757552
7k-11k,本科,1-3年,4814078
25k-40k,本科,3-5年,5190514
13k-26k,本科,3-5年,4586585
20k-40k,本科,3-5年,4533547
15k-30k,本科,5-10年,5100407
10k-15k,大专,1年以下,5057667
30k-50k,本科,5-10年,5009407
18k-32k,本科,3-5年,4694876
25k-35k,本科,5-10年,3911549
10k-15k,本科,5-10年,4869495
17k-30k,本科,3-5年,5129620
7k-14k,大专,1-3年,3793945
10k-20k,本科,1-3年,4711207
15k-30k,本科,3-5年,4507603
10k-20k,本科,3-5年,5056568
25k-40k,大专,5-10年,4395927
20k-35k,本科,3-5年,3383409
20k-40k,本科,3-5年,5170566
5k-7k,本科,1年以下,4950174
10k-20k,本科,1-3年,3771650
15k-18k,本科,5-10年,5194527
20k-30k,本科,5-10年,5197851
25k-40k,本科,3-5年,5046551
15k-25k,本科,3-5年,4927642
