id,薪资,学历要求,工作经验
6k-12k,本科,3-5年,5192750
15k-30k,本科,3-5年,4089923
8k-15k,本科,不限,1716079
10k-20k,本科,3-5年,2573843
25k-45k,本科,3-5年,4649652
15k-22k,本科,5-10年,4977339
10k-20k,本科,1-3年,4581940
8k-12k,本科,3-5年,2445911
18k-25k,本科,3-5年,4111524
10k-20k,不限,不限,2647491
15k-25k,本科,5-10年,4277402
9k-16k,不限,不限,4888175
6k-9k,本科,3-5年,4449044
20k-25k,本科,5-10年,5072250
10k-15k,硕士,3-5年,4337718
10k-20k,本科,5-10年,5192814
25k-45k,本科,3-5年,4649654
14k-26k,本科,3-5年,4695569
10k-18k,本科,3-5年,5158950
10k-15k,本科,3-5年,4978531
15k-30k,本科,3-5年,3758800
10k-15k,硕士,3-5年,4337826
10k-20k,大专,3-5年,5162932
15k-20k,本科,1-3年,4986237
15k-30k,本科,3-5年,5118874
30k-55k,本科,5-10年,4092913
15k-30k,本科,3-5年,4699088
16k-23k,本科,3-5年,4631753
20k-40k,本科,3-5年,3757214
20k-40k,本科,3-5年,5134343
25k-45k,本科,3-5年,4668820
20k-30k,本科,3-5年,3267813
10k-15k,大专,5-10年,5111958
12k-18k,本科,1-3年,3016816
15k-20k,本科,5-10年,5193941
15k-30k,本科,5-10年,4922546
8k-12k,本科,3-5年,4987484
25k-40k,本科,3-5年,4934096
30k-40k,本科,3-5年,3969526
10k-20k,本科,1-3年,5043340
15k-18k,本科,3-5年,4808238
20k-30k,本科,5-10年,3227863
15k-30k,本科,3-5年,4889995
30k-40k,本科,3-5年,5099469
15k-20k,本科,3-5年,4958516
15k-25k,本科,3-5年,3714291
12k-16k,大专,1-3年,2810120
20k-30k,本科,3-5年,5166491
10k-18k,大专,5-10年,4296003
15k-30k,大专,5-10年,4790005
10k-20k,本科,3-5年,4979785
18k-25k,不限,5-10年,2798253
14k-20k,本科,3-5年,4117368
25k-35k,本科,3-5年,1688203
20k-40k,本科,5-10年,4881849
20k-40k,本科,3-5年,4057943
12k-24k,不限,3-5年,5147945
10k-20k,本科,3-5年,4967792
25k-35k,本科,3-5年,3652703
15k-20k,本科,1-3年,3326104
30k-50k,本科,3-5年,4914136
15k-30k,本科,3-5年,3875408
15k-25k,本科,3-5年,5097035
25k-35k,本科,5-10年,4917246
30k-40k,本科,3-5年,4688227
10k-20k,本科,5-10年,652396
15k-30k,本科,3-5年,4095850
15k-25k,本科,3-5年,4951218
25k-50k,本科,3-5年,4940631
15k-30k,大专,5-10年,5166279
13k-15k,本科,5-10年,5148379
20k-40k,本科,5-10年,3121968
35k-55k,本科,3-5年,4279993
20k-30k,本科,不限,3452109
20k-30k,本科,3-5年,3052454
25k-30k,本科,3-5年,4940642
30k-50k,本科,3-5年,5025162
12k-20k,本科,5-10年,5178744
20k-30k,本科,5-10年,4528874
32k-38k,本科,3-5年,5073475
30k-50k,本科,3-5年,4942412
15k-30k,本科,5-10年,5143143
12k-20k,本科,5-10年,4082770
10k-20k,大专,3-5年,4883288
20k-40k,本科,3-5年,4834847
20k-40k,本科,5-10年,3656836
15k-30k,本科,不限,5045435
20k-40k,本科,3-5年,4271989
20k-40k,本科,3-5年,5141595
10k-18k,本科,3-5年,4435642
15k-30k,本科,3-5年,4033687
20k-30k,本科,5-10年,3724137
15k-25k,本科,5-10年,5004376
20k-40k,本科,3-5年,4250829
15k-28k,本科,3-5年,4854095
19k-25k,大专,5-10年,4630282
18k-36k,本科,1-3年,5142868
20k-35k,本科,5-10年,4675993
18k-36k,本科,3-5年,5131497
20k-40k,本科,3-5年,4850316
15k-30k,本科,应届毕业生,5140518
20k-30k,不限,1-3年,4057913
25k-45k,本科,3-5年,4668806
20k-40k,本科,1-3年,5121487
20k-40k,本科,5-10年,5168367
13k-20k,不限,3-5年,5051405
10k-15k,本科,3-5年,4902509
15k-30k,本科,5-10年,5159940
30k-40k,本科,3-5年,4844539
18k-35k,本科,5-10年,4020429
30k-50k,本科,5-10年,5090077
12k-20k,本科,3-5年,4755193
30k-50k,本科,3-5年,5009729
20k-40k,本科,5-10年,4916106
25k-50k,本科,3-5年,3520867
20k-40k,本科,1-3年,5081492
15k-30k,本科,3-5年,4606596
20k-30k,本科,5-10年,5174967
20k-40k,本科,3-5年,4932728
15k-20k,本科,3-5年,5035027
25k-50k,本科,1-3年,2975891
20k-40k,本科,3-5年,4842909
30k-50k,本科,5-10年,4803401
35k-50k,本科,5-10年,5023511
13k-25k,本科,3-5年,5167543
10k-15k,本科,5-10年,3894251
20k-30k,本科,3-5年,4849978
20k-40k,本科,3-5年,5174442
15k-30k,本科,5-10年,4749559
20k-40k,本科,不限,4111314
20k-40k,大专,3-5年,5172029
25k-50k,本科,不限,4668915
20k-40k,本科,3-5年,4605398
20k-40k,本科,3-5年,5068874
15k-30k,本科,3-5年,5127701
18k-25k,本科,1-3年,4977559
20k-40k,本科,不限,4111301
20k-40k,本科,3-5年,4817128
20k-35k,本科,3-5年,4643032
10k-20k,本科,5-10年,3300275
8k-13k,本科,1-3年,1646426
20k-30k,本科,3-5年,4635094
25k-50k,本科,5-10年,3776284
15k-20k,大专,5-10年,3484395
25k-40k,本科,3-5年,4617492
15k-25k,本科,3-5年,4693404
15k-25k,本科,3-5年,4693332
8k-15k,本科,3-5年,4343334
20k-30k,本科,5-10年,4947662
20k-40k,本科,3-5年,2709237
8k-15k,本科,1-3年,4182017
10k-18k,本科,5-10年,4387803
12k-13k,本科,3-5年,4863645
8k-15k,硕士,3-5年,4180970
15k-20k,本科,3-5年,5153374
20k-40k,本科,5-10年,4002691
20k-30k,本科,5-10年,3109592
20k-30k,本科,3-5年,4749660
20k-25k,本科,5-10年,5027275
25k-42k,本科,5-10年,4145056
20k-32k,本科,3-5年,3612264
5k-9k,不限,1-3年,5028565
4k-8k,硕士,应届毕业生,5100159
10k-20k,本科,3-5年,1662206
8k-15k,本科,3-5年,4319563
25k-42k,本科,5-10年,4145069
9k-13k,本科,1-3年,4334986
10k-20k,大专,3-5年,4517184
20k-40k,本科,3-5年,4118506
25k-35k,本科,3-5年,5154431
30k-50k,本科,5-10年,5016711
10k-20k,本科,3-5年,5024335
8k-15k,本科,5-10年,3322080
15k-18k,大专,3-5年,3603478
15k-25k,本科,5-10年,4299132
20k-40k,本科,3-5年,4987718
30k-50k,本科,5-10年,5066892
30k-50k,本科,5-10年,4821514
20k-30k,不限,5-10年,5194935
18k-35k,本科,3-5年,4863764
20k-40k,本科,5-10年,4145062
10k-20k,本科,3-5年,5024315
18K-25K,本科,3-5年,4222951
25k-45k,本科,5-10年,5110633
15k-30k,本科,3-5年,5026444
20k-32k,本科,3-5年,4895618
8k-15k,本科,3-5年,5025719
15k-30k,硕士,3-5年,1594631
25k-50k,本科,5-10年,3349309
18k-30k,不限,3-5年,5023201
30k-50k,硕士,3-5年,3579100
20k-30k,硕士,3-5年,5082065
9k-11k,本科,3-5年,4057318
15k-30k,本科,3-5年,4374871
20k-40k,本科,3-5年,5095661
25k-42k,本科,5-10年,4145032
15k-25k,本科,3-5年,3159809
25k-50k,本科,3-5年,4902513
8k-15k,不限,1-3年,4700477
15k-30k,本科,3-5年,1662201
32k-55k,本科,3-5年,5086809
15k-30k,本科,3-5年,4888125
8k-15k,大专,3-5年,4228192
15k-25k,本科,3-5年,4883809
20k-25k,本科,3-5年,4214062
20k-40k,本科,5-10年,5105304
8k-15k,本科,5-10年,3649752
25k-50k,本科,3-5年,3393858
15k-30k,本科,3-5年,3239378
8k-15k,本科,1-3年,4795700
32k-55k,本科,3-5年,5086756
15k-25k,本科,3-5年,4739853
20k-30k,本科,3-5年,4018769
25k-50k,硕士,3-5年,4461035
30k-60k,本科,3-5年,4578994
30k-50k,本科,不限,5056174
15k-30k,本科,不限,2955612
20k-40k,本科,3-5年,4910320
20k-40k,本科,3-5年,4024649
6k-12k,不限,不限,2599381
25k-50k,本科,5-10年,5124009
13k-18k,大专,3-5年,3554664
20k-30k,大专,5-10年,4898292
25k-37k,本科,5-10年,4652085
30k-50k,本科,3-5年,5154546
40k-60k,本科,5-10年,4089124
20k-35k,本科,5-10年,1411988
15k-28k,本科,5-10年,3591402
30k-60k,本科,3-5年,4270854
15k-25k,本科,3-5年,4731567
15k-30k,本科,3-5年,5193176
20k-40k,本科,1-3年,5199654
30k-60k,本科,3-5年,4328147
30k-50k,本科,5-10年,4992083
15k-25k,本科,不限,4821324
40k-75k,本科,5-10年,4956890
8k-12k,本科,5-10年,2936394
12k-24k,本科,1-3年,4560511
15k-30k,本科,5-10年,4670615
10k-15k,大专,3-5年,4083069
20k-40k,本科,1-3年,5199599
15k-25k,本科,1-3年,5132909
15k-25k,不限,1-3年,4362196
10k-20k,本科,5-10年,4555075
9k-18k,本科,3-5年,5094782
8k-10k,本科,3-5年,4980732
10k-15k,本科,3-5年,5135186
15k-30k,本科,5-10年,4562748
25k-45k,本科,1-3年,4680957
10k-15k,大专,3-5年,5033027
37k-66k,硕士,3-5年,5158463
18k-36k,本科,3-5年,4480669
10K-15K,大专,3-5年,4529568
5k-9k,本科,1-3年,5162450
10k-15k,本科,3-5年,2879358
30k-60k,不限,3-5年,4738449
15k-30k,本科,3-5年,4846891
13k-26k,本科,3-5年,3523923
25k-40k,本科,5-10年,5189456
18k-20k,本科,5-10年,4142125
6k-10k,大专,1-3年,4817010
8K-10K,大专,应届毕业生,3539144
25k-35k,硕士,3-5年,5000079
20k-40k,本科,5-10年,5027790
25k-35k,本科,1-3年,5091298
25k-50k,本科,5-10年,5151845
20k-40k,本科,5-10年,3208480
25k-40k,本科,3-5年,5130776
6k-10k,大专,1-3年,2675943
30k-60k,硕士,3-5年,5026719
20k-40k,本科,1-3年,3020618
8K-10K,大专,应届毕业生,3539761
10k-20k,本科,5-10年,4787244
25k-35k,本科,1-3年,5094102
7k-12k,本科,3-5年,4642133
32k-55k,本科,3-5年,5083268
10k-20k,本科,3-5年,4953880
15k-25k,本科,不限,4348049
20k-40k,硕士,1-3年,4569082
10k-20k,不限,5-10年,4314182
20k-40k,硕士,5-10年,4927238
11k-20k,本科,1-3年,4671681
6k-12k,本科,3-5年,4985395
25k-50k,本科,3-5年,3516115
15k-25k,本科,3-5年,4782715
35k-60k,本科,1-3年,4402256
20k-35k,本科,1-3年,4968173
25k-35k,本科,3-5年,5198508
15k-30k,本科,3-5年,4380163
10k-20k,大专,3-5年,4517507
20k-30k,本科,1-3年,4940609
30k-60k,本科,3-5年,3598025
35k-65k,硕士,3-5年,5020699
18k-35k,本科,3-5年,4867998
25k-50k,本科,1-3年,4714520
18k-25k,本科,3-5年,5015876
25k-40k,本科,不限,4813749
10k-20k,本科,3-5年,5113566
8k-15k,本科,3-5年,3452685
6k-12k,本科,3-5年,4450287
25k-50k,本科,3-5年,5199404
40k-70k,本科,5-10年,4835633
8k-15k,本科,3-5年,4565786
20k-30k,硕士,1-3年,5174372
12k-18k,大专,5-10年,4295010
6k-8k,大专,应届毕业生,3539342
8k-15k,本科,1-3年,5143716
10k-20k,本科,不限,5161903
8k-15k,大专,1年以下,4958340
10k-20k,大专,1-3年,4927614
8k-10k,不限,1-3年,5054543
10k-20k,大专,3-5年,977660
25k-50k,本科,1-3年,4916696
15k-30k,本科,3-5年,3119960
7k-11k,本科,3-5年,4519282
20k-40k,本科,不限,4807808
10k-15k,本科,3-5年,4237288
10k-20k,本科,不限,5096351
20k-40k,本科,3-5年,4370012
12k-22k,大专,3-5年,4580842
7K-12K,本科,3-5年,3078765
20k-40k,不限,10年以上,4577429
12k-18k,大专,5-10年,3863671
20k-40k,本科,3-5年,5153339
25k-50k,本科,1-3年,5119254
10k-20k,本科,3-5年,5173569
8k-15k,本科,3-5年,4930998
20k-30k,本科,5-10年,3142219
10k-15k,不限,不限,3360273
25k-50k,硕士,不限,5161415
28k-45k,本科,5-10年,4898754
20k-25k,本科,3-5年,4852991
8k-12k,本科,1-3年,5047769
10k-20k,本科,不限,5085312
20k-35k,本科,5-10年,5009414
25k-40k,硕士,3-5年,4890268
20k-30k,本科,3-5年,4201110
12k-18k,大专,5-10年,3856396
10k-15k,本科,1-3年,5075469
40k-60k,本科,5-10年,4367210
10k-20k,本科,1-3年,5158264
8k-12k,本科,3-5年,4660155
20k-35k,本科,3-5年,4668340
25k-50k,本科,5-10年,5115890
30k-60k,硕士,1-3年,3383928
10k-20k,本科,不限,5090614
15k-25k,本科,1-3年,5110415
8k-15k,本科,3-5年,4541828
8k-16k,不限,不限,4530329
7k-14k,本科,3-5年,2886772
8k-15k,本科,1-3年,4628746
9k-18k,本科,3-5年,4400620
7K-12K,本科,3-5年,4319998
